"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"18 pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C2";"18 pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C3";"18 pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C4";"18 pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"IC1";"ITS4880R";"ITS4880R";"PG-DSO-36";"Smart Power High-Side-Switch for Industrial Applications. Eight Channels: 8 x 200 mOhm";"";"ITS4880R";"1440818";"58M7534";
"IC2";"7805T";"7805T";"TO220H";"Positive VOLTAGE REGULATOR";"";"";"";"";
"IC3";"74AC11238D";"74AC11238D";"SO16";"3 to 8 line DECODER/DEMULTIPLEXER";"";"";"";"";
"K1";"35701331";"35701331";"REED";"RELAY";"";"";"unknown";"unknown";
"LED1";"";"LED5MM";"LED5MM";"LED";"";"";"";"";
"PCB1";"ARDUINO_MINI";"ARDUINO_MINI";"ARDUINO_MINI";"Device for representing an Arduino Mini board with a footprint in an EAGLE design. Created by Dave Young for Element14. More EAGLE documentation at: http://www.element14.com/community/community/knode/cadsoft_eagle";"";"";"";"";
"Q1";"3.579545 MHz";"XTAL";"Q";"CRYSTAL";"";"";"";"";
"R1";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R2";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"SP1";"AL23P";"AL23P";"AL23P";"SPEAKER Source: Buerklin";"";"";"unknown";"unknown";
"SV1";"";"MA09-2";"MA09-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV2";"";"MA08-1";"MA08-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV3";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";
"U$1";"MX614";"MX614";"SO16-1";"";"";"";"";"";
"X1";"KLBR1";"KLBR1";"KLBR1";"Jack connectors according to JISC 6560, 2.5mm / 3.5 mm";"";"KLBR 1";"1200140";"97K2707";
"X2";"KLBR2";"KLBR2";"KLBR2";"Jack connectors according to JISC 6560, 2.5mm / 3.5 mm";"";"";"unknown";"unknown";
