"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"18pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C2";"18pF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C3";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C4";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"JP4";"";"PINHD-2X2";"2X02";"PIN HEADER";"";"";"";"";
"JP5";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"JP6";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";
"K1";"35701331";"35701331";"REED";"RELAY";"";"";"unknown";"unknown";
"Q1";"3.579545 MHz";"XTAL";"Q";"CRYSTAL";"";"";"";"";
"R1";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"SP1";"AL23P";"AL23P";"AL23P";"SPEAKER Source: Buerklin";"";"";"unknown";"unknown";
"SV1";"";"MA08-2";"MA08-2";"PIN HEADER";"";"";"unknown";"unknown";
"SV2";"";"MA08-1";"MA08-1";"PIN HEADER";"";"";"unknown";"unknown";
"U$1";"ARDUINO_PRO_MINI_LAYOUT";"ARDUINO_PRO_MINI_LAYOUT";"ARDUINO_PRO_MINI_PINOUT";"";"";"";"";"";
"U$2";"MX614";"MX614";"SOIC16-3";"";"";"";"";"";
"X1";"22-23-2021";"22-23-2021";"22-23-2021";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";
